	mix_1	mix_2	mix_3	mix_4	mix_5	mix_6	mix_7	mix_8	mix_9	mix_10	mix_11	mix_12	mix_13	mix_14	mix_15	mix_16	mix_17	mix_18	mix_19	mix_20	mix_21	mix_22	mix_23	mix_24	mix_25	mix_26	mix_27	mix_28	mix_29	mix_30	mix_31	mix_32	mix_33	mix_34	mix_35	mix_36	mix_37	mix_38	mix_39	mix_40	mix_41	mix_42	mix_43	mix_44	mix_45	mix_46	mix_47	mix_48	mix_49	mix_50	mix_51	mix_52	mix_53	mix_54	mix_55	mix_56	mix_57	mix_58	mix_59	mix_60	mix_61	mix_62	mix_63	mix_64	mix_65	mix_66	mix_67	mix_68	mix_69	mix_70	mix_71	mix_72	mix_73	mix_74	mix_75	mix_76	mix_77	mix_78	mix_79	mix_80	mix_81	mix_82	mix_83	mix_84	mix_85	mix_86	mix_87	mix_88	mix_89	mix_90	mix_91	mix_92	mix_93	mix_94	mix_95	mix_96	mix_97	mix_98	mix_99	mix_100
Mesangial cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monocytes	0.1028	0.1294	0.0113	0.045	0.0375	0.069	0.0201	0.086	0.0783	0.033	0.118	0.1038	0.0203	0.029	0.0057	0.0347	0	0.1365	0.0689	0	0.0232	0.0558	0.0637	0.1405	0.0763	0	0.0962	0	0.065	0.0636	0.075	0.047	0.0748	0.1166	0.0804	0.0239	0.0339	9e-04	0.0026	0.0759	0.0982	0	0.043	0.0369	0.0683	0.0083	0.0736	0.1007	0.073	0.0044	0.0898	0	0.0805	0	0.0797	0.0426	0.0862	0.0348	0.0968	0.0495	0	0	0.0909	0.0816	0.0376	0.0906	0	0.015	0.0836	0.0492	0.1072	0.0042	0.0295	0.055	0.0995	0.0327	0	0.0829	0.1039	0.029	0.0315	0.0705	0.0947	0.0451	0.0416	0.0121	0.0656	0.0252	0.0027	0.076	0.0912	0.0726	0.1497	0.1186	0.085	0.0743	0.0838	0.0765	0	0.0624
Myocytes	0	0	0	0	0	0	0	0	8e-04	0	0	8e-04	0	0	0	0	0	0	0	0.001	0	0	0	9e-04	5e-04	0.0017	0	4e-04	1e-04	0	2e-04	0	0	6e-04	0	0	5e-04	0.0013	0	0	0	0	5e-04	0.0018	4e-04	0	0	0	0	0	0	0	0	0	0	1e-04	5e-04	0	5e-04	0	0.0012	3e-04	1e-04	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	8e-04	0	1e-04	0	0	0	0	0	0	0.001	0	0	0	0	0	0	9e-04	0	0	0	0	0	0.002	0
NK cells	0.0398	0.0097	0.0169	0.0198	0.0477	0.0177	0.0315	0	0.0488	0	0.0071	0.0064	0.0372	0	0.0863	0.0104	0	0	0.0114	0.0435	0	0.0379	0	0.0185	0	0.1053	0.0118	0.0358	0.0335	0.0205	0.0063	0.0246	0.0182	0.0266	0.0199	0.0097	0	0.0686	0.0601	0.0045	0.0322	0.017	0.0734	0.0573	0	0.0432	0	0.0083	0.0289	0	0.0196	0.0478	0.0246	0	0.0183	0	0.0355	0.049	0.0312	0	0	0.0494	0.0161	0	0.0763	0.0261	0.0576	0.0819	0	0.0613	0	0	0.0576	0.0206	0.0069	0.0608	0.0388	0.0209	0.005	0	0	0	0.0121	0	0	0.0447	0	0.0326	0.0312	0	0.0312	0	0	0.0462	0.0334	0.0607	0.0041	0	0.0045	0
NKT	0	0	0	0	0	0	0	0	0	0	0.0051	0	0.001	0	0	0	0	0.001	0	0	0	0	4e-04	0.0025	0	0	0	0	0.0014	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0.0016	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0
Neurons	0	0	0.0013	0.001	7e-04	5e-04	0.0015	6e-04	1e-04	0.0016	0	1e-04	0.0019	0.0022	0.0023	9e-04	0.0041	1e-04	9e-04	0.0015	0.0017	9e-04	9e-04	0	2e-04	0.001	4e-04	0.0017	6e-04	7e-04	6e-04	7e-04	5e-04	0	5e-04	0.0015	0.0014	8e-04	0.0023	5e-04	3e-04	0.0027	3e-04	9e-04	1e-04	0.0015	7e-04	3e-04	6e-04	0.0019	4e-04	0.0026	9e-04	0.0037	5e-04	6e-04	1e-04	0.001	1e-04	0.0014	0.0024	0.0015	1e-04	6e-04	9e-04	5e-04	0.0024	0.0011	6e-04	0.0012	4e-04	0.0026	0.0017	8e-04	5e-04	6e-04	9e-04	6e-04	1e-04	0.0015	0.0011	9e-04	2e-04	9e-04	7e-04	7e-04	5e-04	0.001	0.0011	2e-04	2e-04	6e-04	0	0	4e-04	4e-04	5e-04	5e-04	9e-04	6e-04
Neutrophils	0.0079	0.0106	0	7e-04	8e-04	0.0039	0	0.0052	0.0054	0	0.0078	0.0062	0	0	0	0	0	0.0114	0.0038	0	0	0.0039	0.0033	0.0125	0.0026	0	0.0108	0	0.0046	0.0037	0.0043	8e-04	0.0051	0.01	0.0061	0	0	0	0	0.0046	0.0075	0	2e-04	0.0012	0	0	0.0039	0.0123	0.0069	0	0.0094	0	0.0057	0	0.0062	0	0.0037	8e-04	0.0071	0	0	0	0.0058	0.0055	0.0019	0.0086	0	0	0.0055	0.0051	0.0115	0	0.0015	0.0018	0.0095	0	0	0.0064	0.0064	0	0	0.0039	0.008	0	0	0	0.0017	0	0	0.0042	0.0079	0.0038	0.0128	0.0093	0.0086	0.0078	0.006	0.005	0	0.0022
Osteoblast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	4e-04	0	0	0	0.0032	0	0	0	0	0.0051	0.0013	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034	0	0	0	0	0	0	0	0	0.0072	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0.0094	0
Pericytes	0.0055	0.0022	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	3e-04	0	0	0	0	0	0.0083	0	0	0	0	0	0	0	0	0	0.0073	0	0	0	0.0017	0	0	0	0	0	0.0019	0.0021	0	0	0	0	0	0	0	0	0	0	0	0.0027	0.0027	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0.0038	0	0	0	0	0.0038	0
Plasma cells	0.0018	6e-04	0.0162	0.0163	0.0141	0.0101	0.0252	0.0137	0.0039	0.0258	0.0011	0	0.0271	0.025	0.0311	0.0138	0.0413	0.0017	0.0168	0.0165	0.022	0.0171	0.0156	0	0.0023	0.0131	0.0175	0.0226	0.0098	0.0107	0.0078	0.0123	0.0113	0	0.0064	0.0232	0.0224	0.0179	0.0267	0.0117	0.0037	0.0287	0.0057	0.0055	0	0.0167	0.0097	0.0142	0.0145	0.0199	0.016	0.031	0.0131	0.0269	0.0115	0.0093	0	0.014	6e-04	0.0169	0.0224	0.0226	0.0016	0.0098	0.0157	0.0159	0.0304	0.0114	0.0108	0.0305	0.0139	0.0309	0.0244	0.0142	0.0129	0.0094	0.0158	0.0123	0.0017	0.0188	0.0082	0.0091	0.0077	0.0106	0.0087	0.0108	0.0052	0.0142	0.0117	0.0051	0.0094	0.0085	0	0	0.0155	0.0138	0.0067	0.0114	0.0161	0.0087
Platelets	0	6e-04	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preadipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075	0	0	0	0	0.0014	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0.0047	0
Sebocytes	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skeletal muscle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth muscle	0.0028	0.007	0	0	0.0042	0	0	0	0.0069	0	0	0.0071	0	0	0	0	0	0	0	0.0415	0	0	0	0.0129	0.0135	0.0329	0	0.0186	0	0	0.0038	0.0084	0	0	0.0011	0	0	0.018	0.0031	0	0.0017	0	0.02	0.0194	0.018	0.0058	0	0	0	0	0	0	0	0	0	0.0035	0.0075	0.0162	0.016	0	0.0075	0	0.0127	0	0	0	0	0.0205	0	0	0	0	0	0	0	0.0011	0.0257	0	0	0	0	0	0	0	0	0.0238	0.0011	4e-04	0.0063	0.006	0	0	0.0056	0.006	0	0	0	0	0.0372	0
Tgd cells	0.0028	8e-04	2e-04	0	0.0023	0	0	0	0.005	0	0	0.0024	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0.0141	0	0	0	0	0	0	0	0.001	0	0	0	0.0044	0	0	8e-04	0	0.0058	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	0.002	0	0	0	0.0026	0	0	0	0	0.0029	0	0	0	0	0	0	0	0.0019	8e-04	0	0.0022	0	0	0	0	0	0	0.0033	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0
Th1 cells	0.001	0	0	0	6e-04	0	0	0	0.0014	0	0	0	0	0	0.0059	0	0	0	0	0.0041	0	0	0	1e-04	0	0.008	0	0.0014	0	0	0.0058	0.0065	0.0051	0.0064	0.0057	0.0024	0	0.017	0.0093	0.0047	0.0084	0.0138	0.0132	0.0099	0.0032	0.0101	0	0.0078	0.0064	0	0.0067	0.013	0.0023	0.0032	0.0059	0.001	0.0073	0.0156	0.0067	1e-04	0.0027	0.0128	0.0053	0	0.013	0.0067	0.0133	0.0097	0.002	0.0134	0	0.0038	0.0071	0.0044	0.0066	0.0116	0.0164	0.0048	0.0026	0	7e-04	0.0029	0.0023	8e-04	0.0013	0.0145	2e-04	0.01	0.0088	3e-04	0.0086	0.0013	0.003	0.0076	0.01	0.0124	0.0045	0.0018	0.0065	0.0035
Th2 cells	0.0031	0	0.0185	0.0123	0.0113	0.0054	0.0229	0	0.0095	0.0103	0.0021	0	0.0235	0.0104	0.0393	0.0115	0.0168	0	0.006	0.0428	0.0222	0.0124	0.0022	0.0016	9e-04	0.0339	0	0.0365	0.0171	0.0091	0.0059	0.0105	0.0067	0	0.0042	0.0212	0.0191	0.0284	0.0336	0.0035	0	0.0235	0.0162	0.0166	6e-04	0.033	0.009	0	0.0042	0.0237	0.0043	0.0319	0.0168	0.0219	0.0037	0.0068	0.0017	0.0115	0.0025	0.0026	0.0366	0.029	0	8e-04	0.0194	0	0.0325	0.0267	0.0014	0.0052	0	0.0153	0.0191	0.0125	0	0.0223	0.0289	0.0057	0.0011	0.0041	0.0044	0.0038	0.0147	0.0109	0.007	0.0186	9e-04	0.0165	0.0268	0.0094	0.0028	0.0087	0	0.0031	0	0.0034	0.002	0.0048	0.0444	0.0052
Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cDC	0.0369	0.0513	0.0121	0.021	0.0153	0.0249	0.0246	0.0463	0.0285	0.031	0.0673	0.0284	0.0294	0.029	0.0292	0.0188	0	0.0612	0.034	0	0.022	0.0266	0.0501	0.0526	0.0227	0	0.0561	0	0.0272	0.027	0.0315	0.0238	0.031	0.0429	0.0279	0.0237	0.0205	0.0022	0.0201	0.0367	0.037	0.0043	0.0124	0.0122	0.022	0.0104	0.0308	0.0631	0.0425	0.011	0.0524	0.0082	0.051	0.0147	0.0413	0.0157	0.031	0.0085	0.0367	0.0415	0	0.0094	0.0293	0.0394	0.0252	0.0429	0.0095	0.0063	0.0398	0.045	0.0584	0.0299	0.0272	0.0262	0.0552	0.007	0.0022	0.0383	0.0366	0.027	0.0145	0.0429	0.0536	0.0244	0.02	0.0033	0.0263	0.0132	0.0048	0.0275	0.049	0.03	0.0609	0.0383	0.0508	0.0396	0.0331	0.0363	0	0.0308
iDC	0.0807	0.1148	0.0284	0.0931	0.072	0.1153	0.0782	0.1601	0.0699	0.0916	0.1039	0.042	0.0807	0.0951	0.0652	0.0794	0.0441	0.124	0.1222	0.0073	0.0726	0.1145	0.1423	0.0722	0.0705	0	0.1791	0.0165	0.1002	0.1111	0.108	0.0818	0.1358	0.0649	0.1104	0.0674	0.102	0.0129	0.0521	0.1178	0.1042	0.031	0.0099	0.0343	0.0199	0.038	0.1264	0.1884	0.1415	0.0463	0.1593	0.0406	0.16	0.0366	0.1384	0.0742	0.0298	0.0652	0.0492	0.1139	0.0126	0.0423	0.0874	0.1428	0.0953	0.1644	0.0263	0.0153	0.1464	0.1267	0.1892	0.0765	0.1035	0.095	0.1706	0.0445	0.0147	0.1368	0.0935	0.1046	0.0678	0.1544	0.1575	0.0933	0.0789	0.0203	0.0942	0.075	0.0393	0.0952	0.1465	0.1127	0.1025	0.0488	0.1611	0.13	0.1248	0.1285	0.0031	0.1081
ly Endothelial cells	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	1e-04	0	0	0	0	4e-04	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	7e-04	0	3e-04	0	0	4e-04	0	0	0	2e-04	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mv Endothelial cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
naive B-cells	0.0071	4e-04	0.0421	0.0506	0.0392	0.031	0.0664	0.0569	0.01	0.0735	0.0089	0	0.0791	0.0798	0.0669	0.0446	0.1022	0.0095	0.0486	0.0306	0.0584	0.0559	0.0584	0	0.0079	0.0112	0.0601	0.0484	0.0301	0.0384	0.0212	0.0368	0.041	6e-04	0.0238	0.0658	0.0664	0.0277	0.0712	0.0433	0.0104	0.0734	0.0018	0.0155	0	0.0381	0.0444	0.0562	0.0509	0.0611	0.0535	0.0796	0.0504	0.0752	0.0489	0.0304	0	0.0394	6e-04	0.0651	0.0601	0.0501	0.0045	0.0471	0.0355	0.0522	0.071	0.0227	0.0458	0.0768	0.0646	0.0905	0.0712	0.0579	0.0489	0.019	0.0256	0.0394	0.0074	0.0617	0.0312	0.044	0.0417	0.043	0.0304	0.0151	0.0224	0.0443	0.0401	0.0176	0.0394	0.0345	1e-04	0	0.0561	0.0452	0.0286	0.0431	0.0354	0.0383
pDC	0.0058	0.0027	7e-04	0.0121	0.0075	0.006	0.012	0	0.0037	0	2e-04	0	0.0157	0.0057	0.0142	0.0048	0.0019	0	0.0107	0	0.0045	0.0167	2e-04	0.0044	0	0	0.0222	9e-04	0.0031	0.0106	0.0013	0.0056	0.0102	0.0029	0.0106	0.0054	0	0	0.0147	0.0049	0.0069	0.0106	0	0.0025	0	0.0073	0.0043	0.023	0.0133	0	0.0187	0.0173	0.015	0.0081	0.0126	0	0.0015	0.0028	0.0044	0	0	0.0045	0	0	0.008	0.0244	0.0164	9e-04	0.0016	0.0234	0	0.0044	0.0165	0.0085	0.015	0.0025	2e-04	0.0161	0.002	0	0	0.0103	0.0095	0.0013	0	0	0	0.008	0.0042	0	0.0129	5e-04	0.0011	0.0056	0.0159	0.0188	0.0054	0.0027	0	0.0025
pro B-cells	0.0031	0	0.0288	0.0401	0.034	0.0205	0.0535	0.0466	0.0075	0.0627	0.0056	0	0.0573	0.0637	0.0605	0.0356	0.0766	0.0036	0.0422	0.0216	0.0472	0.047	0.0513	0	0.0059	0.0019	0.0532	0.0378	0.0161	0.0329	0.0139	0.0363	0.0432	0	0.0205	0.0518	0.0569	0.015	0.0643	0.0377	0.0077	0.0667	0	0.0129	0	0.0336	0.0423	0.0538	0.0395	0.0464	0.0503	0.0712	0.0493	0.0635	0.0468	0.0247	0	0.0276	6e-04	0.0632	0.0488	0.0385	0	0.0446	0.0325	0.0485	0.061	0.0173	0.0419	0.0758	0.0573	0.07	0.0617	0.046	0.0456	0.0099	0.0195	0.0362	0.0045	0.0492	0.0226	0.0461	0.0353	0.0392	0.0324	0.0046	0.019	0.0374	0.0364	0.0159	0.0366	0.0299	0	1e-04	0.0514	0.0417	0.0294	0.0329	0.0204	0.0366
ImmuneScore	0.1373	0.1307	0.2075	0.2185	0.2125	0.1731	0.2551	0.2129	0.1549	0.2577	0.1233	0.1295	0.2716	0.2689	0.2819	0.2071	0.3285	0.139	0.2129	0.2133	0.2275	0.2317	0.2263	0.1296	0.1381	0.1896	0.2278	0.2436	0.1752	0.1999	0.1551	0.2039	0.1911	0.1328	0.1623	0.2333	0.236	0.1976	0.274	0.1872	0.1435	0.2832	0.1589	0.1721	0.1216	0.2119	0.1977	0.2227	0.2009	0.2333	0.2151	0.3025	0.2108	0.2719	0.2058	0.1791	0.133	0.2055	0.1389	0.2438	0.2479	0.2323	0.1268	0.1993	0.202	0.2155	0.2898	0.1967	0.1965	0.2821	0.2437	0.2805	0.2671	0.2139	0.2005	0.173	0.1973	0.1934	0.1368	0.2255	0.1695	0.2032	0.1729	0.2049	0.1821	0.1647	0.1594	0.2133	0.2201	0.1517	0.1815	0.1789	0.128	0.1461	0.2207	0.2031	0.1738	0.1884	0.2018	0.1896
StromaScore	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0.0013	4e-04	0	0	0	0	0	0	0	0	1e-04	0	0	1e-04	0	0	2e-04	0	2e-04	0.0015	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	1e-04	0.0028	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	2e-04	4e-04	0	0	0	0	0.0074	0
MicroenvironmentScore	0.1374	0.1307	0.2075	0.2185	0.2125	0.1731	0.2551	0.2129	0.1553	0.2577	0.1233	0.1295	0.2716	0.2689	0.2819	0.2071	0.3285	0.139	0.2129	0.2133	0.2275	0.2317	0.2263	0.1297	0.1394	0.19	0.2278	0.2436	0.1752	0.1999	0.1551	0.2039	0.1911	0.1328	0.1624	0.2333	0.236	0.1978	0.274	0.1872	0.1437	0.2832	0.1592	0.1736	0.1263	0.2119	0.1977	0.2227	0.2009	0.2333	0.2151	0.3025	0.2108	0.2719	0.2058	0.1791	0.133	0.2055	0.1394	0.2438	0.2479	0.2323	0.1268	0.1993	0.202	0.2155	0.2898	0.1969	0.1965	0.2821	0.2437	0.2805	0.2671	0.2139	0.2005	0.1731	0.2001	0.1934	0.1368	0.2255	0.1695	0.2032	0.1729	0.2049	0.1821	0.1647	0.1594	0.2133	0.2213	0.1517	0.1815	0.1789	0.1282	0.1465	0.2207	0.2031	0.1738	0.1884	0.2092	0.1896
